Price Date,Open Price,High Price,Low Price,Close Price,Traded Value,Number Of Trades,Traded Quantity
29-05-2015,2004.85,2056.45,2001,2023.15,9612868995,121421,4748261
28-05-2015,1975.2,2032,1975.2,2016.6,5490996904,97941,2745135
27-05-2015,2007,2009,1955,1968.5,4157452380,114474,2113677
26-05-2015,2020,2031.45,2002.15,2007.3,1998042102,37399,991260
25-05-2015,2050.5,2056.55,2007.05,2016.8,2372348161,62183,1168952
22-05-2015,2044,2051.55,2030.1,2046.45,3518585689,78526,1722206
21-05-2015,2048.9,2061.9,2037.25,2048.45,5147155556,99082,2514828
20-05-2015,2040,2052,2033.6,2047.3,3008337279,63706,1470547
19-05-2015,1987.3,2035.7,1986,2022.35,5178250883,73141,2568019
18-05-2015,1970,1998.9,1961.6,1993.05,3205766129,72296,1617494
15-05-2015,1935,1966.6,1932.3,1961.75,2532866454,78808,1297336
14-05-2015,1960,1960.8,1908,1934.8,3006959163,82817,1558461
13-05-2015,1951.75,1964.9,1928.5,1956.7,3459240022,55815,1774771
12-05-2015,1993.65,1994.6,1942,1947.1,4048763184,88184,2071223
11-05-2015,1965,2000,1952.2,1993.65,2369955758,54180,1196378
08-05-2015,1958,1967.55,1945.25,1957.95,2825994395,60514,1444419
07-05-2015,1922,1967.1,1910,1944,3293172516,68774,1694996
06-05-2015,1975,1975,1915.3,1922.05,5074233991,94364,2627102
05-05-2015,2000,2003.7,1952.05,1962.75,4635543851,133092,2352129
04-05-2015,1959.5,2000,1949.9,1993.1,6583671560,112574,3340398
30-04-2015,1960,1965,1932.3,1942.25,6381450710,97827,3283565
29-04-2015,1960.9,1972,1937.95,1961.15,4050550196,83132,2072264
28-04-2015,1982,1982,1952,1960.9,5099538669,105935,2598375
27-04-2015,2000,2002,1948.1,1984.65,9776101992,191419,4955660
24-04-2015,2135.9,2150.2,1980,1995.2,22548139448,317809,10891363
23-04-2015,2148.7,2150,2112,2122,6317195719,96511,2972950
22-04-2015,2151.05,2155,2097.95,2137.7,6563482786,95691,3087746
21-04-2015,2148,2155.1,2120.1,2142.6,4745571561,55322,2220412
20-04-2015,2176,2180,2115.15,2132.15,6832298664,77890,3206346
17-04-2015,2180.05,2194.95,2153.45,2179.25,3510786628,38470,1612579
16-04-2015,2222,2231,2160.5,2194.65,4917164807,55664,2251953
15-04-2015,2236.5,2245,2195.05,2213.7,3452862597,58780,1559446
13-04-2015,2238,2244,2216.1,2238.8,2723274134,44676,1218084
10-04-2015,2210.2,2238,2210.2,2233.95,3971279957,55733,1780944
09-04-2015,2211.4,2218.9,2184.4,2215,5827671747,65171,2645387
08-04-2015,2182.5,2204.9,2173.05,2200.55,5580179493,84366,2546394
07-04-2015,2175,2182.8,2138,2159.5,4614786256,71104,2135567
06-04-2015,2179,2184.7,2160.4,2178.2,4202294186,54198,1935438
01-04-2015,2198.9,2199.5,2157.7,2173.95,3657560037,90934,1684622
31-03-2015,2245,2273.65,2204.35,2218.35,4453315920,92432,2004103
30-03-2015,2205.6,2240,2194.9,2228,2562453104,52162,1155772
27-03-2015,2164,2224.7,2163,2202.15,5549435088,72286,2518555
26-03-2015,2208,2214.9,2132,2146.35,8487760947,131427,3935210
25-03-2015,2222.9,2229.15,2200.75,2219.1,3416298157,105633,1542742
24-03-2015,2234.9,2253.4,2206,2211.45,3745965785,43962,1684133
